"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","perlinig-ethz"
"Cmdline:","dstat -c --top-cpu -dn --top-mem --output 3-2dstatmw1_set.csv",,,,"Date:","22 Nov 2017 17:14:33 UTC"

"total cpu usage",,,,,,"most expensive","dsk/total",,"net/total",,"most expensive"
"usr","sys","idl","wai","hiq","siq","cpu process","read","writ","recv","send","memory process"
5.863,7.359,84.952,0.095,1.732,0.0,ksoftirqd/3 / 0%,6816.868,7620596.043,0.0,0.0,java / 100093952%,
1.859,3.098,94.052,0.0,0.991,0.0,java / 2%,0.0,0.0,868929.0,1160795.0,java / 100093952%,
1.877,2.879,94.243,0.250,0.751,0.0,java / 2%,0.0,36864.0,868475.0,1163412.0,java / 100093952%,
2.253,3.254,93.492,0.0,1.001,0.0,java / 3%,0.0,0.0,913605.0,1221000.0,java / 99119104%,
1.870,3.117,94.015,0.0,0.998,0.0,java / 3%,0.0,8192.0,932139.0,1240833.0,java / 99119104%,
2.003,3.129,93.867,0.0,1.001,0.0,java / 3%,0.0,0.0,937798.0,1245758.0,java / 99119104%,
2.500,3.375,93.250,0.0,0.875,0.0,java / 3%,0.0,0.0,902541.0,1199317.0,java / 101216256%,
1.877,3.379,93.867,0.0,0.876,0.0,java / 2%,0.0,0.0,918706.0,1218830.0,java / 101216256%,
1.873,3.121,93.258,0.749,0.999,0.0,java / 2%,0.0,24576.0,900641.0,1197889.0,java / 101216256%,
2.128,3.254,93.742,0.0,0.876,0.0,java / 3%,0.0,0.0,954202.0,1263180.0,java / 100163584%,
1.877,3.504,93.617,0.0,1.001,0.0,java / 3%,0.0,0.0,970680.0,1297220.0,java / 100163584%,
1.998,3.496,93.508,0.0,0.999,0.0,java / 3%,0.0,0.0,996186.0,1326402.0,java / 100175872%,
1.877,3.379,93.742,0.0,1.001,0.0,java / 3%,0.0,0.0,971801.0,1302409.0,java / 100175872%,
2.003,3.129,93.742,0.250,0.876,0.0,java / 2%,0.0,12288.0,914016.0,1221486.0,java / 100175872%,
2.244,2.993,93.890,0.0,0.873,0.0,java / 3%,0.0,0.0,780401.0,1038045.0,java / 99127296%,
1.877,3.254,93.867,0.0,1.001,0.0,java / 3%,0.0,0.0,923536.0,1228894.0,java / 99127296%,
2.003,3.379,93.617,0.0,1.001,0.0,java / 3%,0.0,0.0,970172.0,1288242.0,java / 99127296%,
2.747,3.496,92.634,0.0,1.124,0.0,java / 4%,0.0,0.0,999439.0,1317833.0,java / 99127296%,
1.877,3.254,93.992,0.0,0.876,0.0,java / 3%,0.0,0.0,918497.0,1223079.0,java / 99127296%,
1.875,3.0,93.750,0.500,0.875,0.0,java / 2%,0.0,12288.0,832024.0,1101046.0,java / 99127296%,
2.875,3.375,92.750,0.0,1.0,0.0,java / 4%,0.0,0.0,889987.0,1184879.0,java / 98074624%,
1.752,3.004,94.243,0.0,1.001,0.0,java / 2%,0.0,0.0,889087.0,1177417.0,java / 98074624%,
2.625,3.250,93.250,0.0,0.875,0.0,java / 4%,0.0,0.0,890128.0,1180394.0,java / 98074624%,
2.120,3.367,93.516,0.0,0.998,0.0,java / 3%,0.0,0.0,956335.0,1273473.0,java / 98074624%,
1.880,3.258,93.985,0.0,0.877,0.0,java / 2%,0.0,28672.0,945070.0,1259274.0,java / 98074624%,
1.998,3.246,93.508,0.250,0.999,0.0,java / 3%,0.0,12288.0,1002831.0,1334711.0,java / 97026048%,
1.880,3.383,93.860,0.0,0.877,0.0,java / 3%,0.0,0.0,952171.0,1263935.0,java / 97026048%,
2.497,3.371,93.134,0.0,0.999,0.0,java / 3%,0.0,0.0,917898.0,1225294.0,java / 97042432%,
1.752,3.129,94.243,0.0,0.876,0.0,java / 2%,0.0,0.0,918802.0,1218990.0,java / 97042432%,
2.0,3.250,93.875,0.0,0.875,0.0,java / 3%,0.0,20480.0,878871.0,1165165.0,java / 97042432%,
2.247,2.996,93.883,0.0,0.874,0.0,java / 3%,0.0,0.0,858513.0,1136553.0,java / 95989760%,
2.005,3.383,93.108,0.501,1.003,0.0,java / 3%,0.0,16384.0,991300.0,1325827.0,java / 95989760%,
2.375,3.250,93.500,0.0,0.875,0.0,java / 3%,0.0,0.0,957926.0,1277865.0,java / 95989760%,
2.0,3.500,93.500,0.0,1.0,0.0,java / 3%,0.0,0.0,993702.0,1324744.0,java / 95989760%,
1.875,3.0,94.250,0.0,0.875,0.0,java / 2%,0.0,8192.0,892890.0,1180034.0,java / 95989760%,
1.875,3.125,94.125,0.0,0.875,0.0,java / 3%,0.0,0.0,929452.0,1231590.0,java / 94973952%,
1.873,3.121,93.383,0.624,0.999,0.0,java / 2%,0.0,20480.0,925509.0,1225637.0,java / 94973952%,
2.003,3.254,93.867,0.0,0.876,0.0,java / 3%,0.0,0.0,873301.0,1148837.0,java / 94973952%,
1.750,3.250,94.125,0.0,0.875,0.0,java / 3%,0.0,0.0,958194.0,1273364.0,java / 94973952%,
2.003,3.254,93.742,0.0,1.001,0.0,java / 3%,0.0,16384.0,965057.0,1274465.0,java / 94445568%,
1.998,3.496,93.508,0.0,0.999,0.0,java / 3%,0.0,0.0,1020223.0,1355778.0,java / 94445568%,
2.003,3.379,93.242,0.375,1.001,0.0,java / 3%,0.0,20480.0,968117.0,1289138.0,java / 94445568%,
2.372,3.246,93.383,0.0,0.999,0.0,java / 3%,0.0,0.0,948005.0,1257071.0,java / 94445568%,
1.752,3.004,94.368,0.0,0.876,0.0,java / 2%,0.0,0.0,941709.0,1244507.0,java / 94445568%,
2.378,3.129,93.742,0.0,0.751,0.0,java / 3%,0.0,0.0,831759.0,1101829.0,java / 94097408%,
1.748,2.996,94.382,0.0,0.874,0.0,java / 2%,0.0,0.0,903914.0,1199094.0,java / 94097408%,
2.125,3.500,93.0,0.250,1.125,0.0,java / 3%,0.0,16384.0,1087732.0,1410776.0,java / 94097408%,
2.003,3.379,93.617,0.0,1.001,0.0,java / 3%,0.0,0.0,997756.0,1329662.0,java / 93921280%,
2.247,3.371,93.383,0.0,0.999,0.0,java / 3%,0.0,0.0,958009.0,1263611.0,java / 93396992%,
1.877,2.879,94.368,0.0,0.876,0.0,java / 2%,0.0,0.0,712685.0,944887.0,java / 93396992%,
11.625,6.625,81.625,0.0,0.125,0.0,java / 13%,0.0,0.0,4774.0,4435.0,java / 95109120%,
7.625,5.750,86.375,0.0,0.250,0.0,systemd-logind / 0%,0.0,0.0,4178.0,5284.0,waagent / 15581184%,
0.250,0.375,98.876,0.375,0.125,0.0,hv_kvp_daemon / 0%,0.0,90112.0,132.0,412.0,waagent / 15581184%,
0.250,0.375,99.374,0.0,0.0,0.0,kworker/4:2 / 0%,0.0,0.0,132.0,420.0,waagent / 15581184%,
0.375,0.375,99.126,0.0,0.125,0.0,kworker/4:2 / 0%,0.0,0.0,132.0,412.0,waagent / 15581184%,
0.250,0.375,99.249,0.0,0.125,0.0,kworker/4:2 / 0%,0.0,0.0,132.0,412.0,waagent / 15581184%,
0.375,0.375,99.126,0.0,0.125,0.0,rcuos/6 / 0%,0.0,0.0,132.0,412.0,waagent / 15581184%,
0.125,0.375,99.375,0.0,0.125,0.0,kworker/4:2 / 0%,0.0,0.0,66.0,318.0,waagent / 15581184%,
0.250,0.500,98.875,0.375,0.0,0.0,kworker/4:2 / 0%,0.0,12288.0,132.0,412.0,waagent / 15581184%,
0.250,0.250,99.374,0.0,0.125,0.0,kworker/4:2 / 0%,0.0,49152.0,591.0,1531.0,waagent / 15581184%,
0.375,0.499,99.001,0.0,0.125,0.0,kworker/4:2 / 0%,0.0,0.0,132.0,412.0,waagent / 15581184%,
0.250,0.375,99.250,0.0,0.125,0.0,sshd: perlinig-ethz@pts/0
 / 0%,0.0,0.0,132.0,412.0,waagent / 15581184%,
0.250,0.375,99.250,0.0,0.125,0.0,kworker/4:2 / 0%,0.0,0.0,132.0,412.0,waagent / 15581184%,
0.250,0.375,99.249,0.0,0.125,0.0,kworker/4:2 / 0%,0.0,0.0,132.0,412.0,waagent / 15581184%,
0.375,0.375,98.875,0.250,0.125,0.0,kworker/4:2 / 0%,0.0,12288.0,132.0,412.0,waagent / 15581184%,
0.375,0.375,99.250,0.0,0.0,0.0,kworker/4:2 / 0%,0.0,0.0,132.0,412.0,waagent / 15581184%,
0.501,0.501,98.874,0.0,0.125,0.0,sshd: perlinig-ethz [priv]
 / 0%,0.0,0.0,4530.0,4435.0,waagent / 15581184%,
7.0,4.625,88.250,0.0,0.125,0.0,sshd: [net] / 0%,0.0,0.0,4071.0,4433.0,waagent / 15581184%,
5.985,4.115,89.776,0.0,0.125,0.0,dbus-daemon / 0%,0.0,0.0,4371.0,3486.0,waagent / 15581184%,
6.125,3.750,90.0,0.0,0.125,0.0,sshd: perlinig-ethz [priv]
 / 0%,0.0,8192.0,4634.0,4303.0,waagent / 15581184%,
4.881,3.129,91.489,0.375,0.125,0.0,sshd: perlinig-ethz [priv]
 / 0%,0.0,40960.0,6552.0,6419.0,waagent / 15581184%,
5.618,3.745,90.512,0.0,0.125,0.0,landscape-sysinfo / 4%,0.0,0.0,6486.0,6003.0,landscape-sysinfo / 17317888%,
5.507,3.504,90.989,0.0,0.0,0.0,landscape-sysinfo / 3%,0.0,0.0,6478.0,5995.0,landscape-sysinfo / 16089088%,
5.131,3.880,90.864,0.0,0.125,0.0,landscape-sysinfo / 1%,0.0,0.0,6412.0,5901.0,waagent / 15581184%,
5.618,3.496,90.637,0.0,0.250,0.0,sshd: perlinig-ethz [priv]
 / 0%,0.0,8192.0,6470.0,5929.0,waagent / 15581184%,
6.375,4.500,88.625,0.375,0.125,0.0,sshd: [net] / 0%,0.0,28672.0,3959.0,4507.0,waagent / 15581184%,
