S1 Load	S2 Load	S3 Load
2389	2389	2389
2391	2391	2391
2387	2387	2387
2393	2393	2393
2407	2407	2407
2400	2400	2400
2399	2399	2399
2382	2382	2382
2396	2396	2396
2404	2404	2404
2395	2395	2395
2387	2387	2387
2398	2398	2398
2382	2382	2382
2393	2393	2393
2387	2387	2387
2390	2390	2390
2398	2398	2398
2405	2405	2405
2411	2411	2411
2403	2403	2403
2386	2386	2386
2397	2397	2397
2389	2389	2389
2404	2404	2404
2395	2395	2395
2379	2379	2379
2409	2409	2409
2416	2416	2416
2404	2404	2404
2406	2406	2406
2406	2406	2406
