"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","perlinig-ethz"
"Cmdline:","dstat -c --top-cpu -dn --top-mem --output 2-1dstat_get.csv",,,,"Date:","22 Nov 2017 11:47:52 UTC"

"total cpu usage",,,,,,"most expensive","dsk/total",,"net/total",,"most expensive"
"usr","sys","idl","wai","hiq","siq","cpu process","read","writ","recv","send","memory process"
6.763,8.344,82.907,0.143,1.842,0.0,ksoftirqd/3 / 0%,15839.656,17701402.319,0.0,0.0,java / 86904832%,
10.224,5.985,82.419,0.0,1.372,0.0,java / 13%,0.0,0.0,1346599.0,1975721.0,java / 89018368%,
7.885,5.257,85.607,0.0,1.252,0.0,java / 10%,0.0,0.0,1263866.0,1805414.0,java / 93483008%,
7.366,5.243,86.017,0.125,1.248,0.0,java / 11%,0.0,0.0,1226180.0,1741836.0,java / 93483008%,
11.139,6.633,80.976,0.0,1.252,0.0,java / 15%,0.0,0.0,1482504.0,2120382.0,java / 94703616%,
5.597,5.348,87.313,0.373,1.368,0.0,java / 8%,0.0,32768.0,1424992.0,2053702.0,java / 94429184%,
4.146,4.020,90.829,0.0,1.005,0.0,java / 7%,0.0,0.0,1059319.0,1497935.0,java / 94429184%,
5.625,5.500,87.500,0.0,1.375,0.0,java / 8%,0.0,0.0,1549676.0,2241334.0,java / 93970432%,
5.632,5.257,87.860,0.0,1.252,0.0,java / 9%,0.0,0.0,1481948.0,2141342.0,java / 93970432%,
10.375,8.125,80.250,0.0,1.250,0.0,java / 16%,0.0,0.0,1440464.0,2028946.0,java / 96038912%,
4.375,5.250,89.0,0.0,1.375,0.0,java / 8%,0.0,0.0,1456374.0,2042236.0,java / 97968128%,
4.750,5.875,87.500,0.500,1.375,0.0,java / 8%,0.0,16384.0,1411250.0,1961910.0,java / 98873344%,
4.875,4.875,89.125,0.0,1.125,0.0,java / 8%,0.0,0.0,1194736.0,1643052.0,java / 98025472%,
4.130,5.507,89.111,0.0,1.252,0.0,java / 8%,0.0,0.0,1598760.0,2235566.0,java / 100134912%,
3.375,5.500,89.625,0.0,1.500,0.0,java / 6%,0.0,0.0,1559520.0,2159752.0,java / 100134912%,
3.250,5.250,90.250,0.0,1.250,0.0,java / 6%,0.0,0.0,1516725.0,2112317.0,java / 99086336%,
3.496,5.119,90.012,0.0,1.373,0.0,java / 6%,0.0,0.0,1465605.0,2025551.0,java / 100282368%,
2.753,4.380,91.364,0.375,1.126,0.0,java / 6%,0.0,16384.0,1236732.0,1708948.0,java / 100282368%,
2.506,3.509,93.108,0.0,0.877,0.0,java / 5%,0.0,0.0,1071214.0,1449388.0,java / 99328000%,
3.250,5.250,90.125,0.0,1.375,0.0,java / 6%,0.0,8192.0,1504832.0,2099716.0,java / 99328000%,
3.246,5.243,90.137,0.0,1.373,0.0,java / 6%,0.0,0.0,1579682.0,2204034.0,java / 98279424%,
3.379,5.382,89.862,0.0,1.377,0.0,java / 6%,0.0,0.0,1553010.0,2145490.0,java / 97906688%,
3.375,5.375,89.375,0.500,1.375,0.0,java / 7%,0.0,32768.0,1613979.0,2262777.0,java / 97906688%,
2.864,4.981,90.785,0.0,1.370,0.0,java / 6%,0.0,0.0,1461437.0,2039793.0,java / 96854016%,
3.396,5.031,90.440,0.0,1.132,0.0,java / 6%,0.0,49152.0,1425396.0,1974804.0,java / 96940032%,
3.125,5.0,90.625,0.0,1.250,0.0,java / 6%,0.0,0.0,1473530.0,2041750.0,java / 95891456%,
3.250,5.0,90.375,0.0,1.375,0.0,java / 6%,0.0,0.0,1524878.0,2123656.0,java / 95891456%,
3.625,5.500,89.500,0.0,1.375,0.0,java / 7%,0.0,0.0,1590928.0,2218070.0,java / 95891456%,
3.625,5.125,89.0,0.875,1.375,0.0,java / 6%,0.0,16384.0,1492588.0,2083812.0,java / 94838784%,
3.375,4.875,90.375,0.125,1.250,0.0,java / 6%,0.0,32768.0,1385678.0,1913038.0,java / 94838784%,
3.250,5.250,90.125,0.0,1.375,0.0,java / 6%,0.0,0.0,1576361.0,2187721.0,java / 94314496%,
3.504,5.507,89.612,0.0,1.377,0.0,java / 7%,0.0,0.0,1564900.0,2183900.0,java / 94375936%,
3.121,4.619,90.886,0.0,1.373,0.0,java / 7%,0.0,0.0,1355666.0,1872770.0,java / 93851648%,
3.504,4.881,90.113,0.250,1.252,0.0,java / 6%,0.0,28672.0,1368177.0,1895213.0,java / 93851648%,
3.246,5.243,90.137,0.0,1.373,0.0,java / 7%,0.0,16384.0,1626073.0,2276513.0,java / 93851648%,
4.005,5.507,89.237,0.0,1.252,0.0,java / 7%,0.0,0.0,1689724.0,2366378.0,java / 93323264%,
