S1 Load	S2 Load	S3 Load
1461	1461	1461
1471	1471	1471
1466	1466	1466
1466	1466	1466
1480	1480	1480
1462	1462	1462
1475	1475	1475
1484	1484	1484
1470	1470	1470
1467	1467	1467
1466	1466	1466
1469	1469	1469
1460	1460	1460
1473	1473	1473
1458	1458	1458
1462	1462	1462
1471	1471	1471
1483	1483	1483
1458	1458	1458
1473	1473	1473
1478	1478	1478
1467	1467	1467
1480	1480	1480
1467	1467	1467
1474	1474	1474
1458	1458	1458
1474	1474	1474
1470	1470	1470
1451	1451	1451
1456	1456	1456
1467	1467	1467
1486	1486	1486
1471	1471	1471
1473	1473	1473
1464	1464	1464
1474	1474	1474
1450	1450	1450
1478	1478	1478
1456	1456	1456
1478	1478	1478
1466	1466	1466
1466	1466	1466
1468	1468	1468
1479	1479	1479
1465	1465	1465
1469	1469	1469
1473	1473	1473
1468	1468	1468
1473	1473	1473
1466	1466	1466
1468	1468	1468
1468	1468	1468
1473	1473	1473
1467	1467	1467
1452	1452	1452
1483	1483	1483
1477	1477	1477
1473	1473	1473
1464	1464	1464
1474	1474	1474
1462	1462	1462
1459	1459	1459
1475	1475	1475
1479	1479	1479
